lesson                                        T1  T2  T3  wgt
63-statistical-arbitrage                       0   0   7    7
36-dark-pool-indicators                        0   0   6    6
38-game-theory-trading                         0   0   6    6
64-macro-regime-framework                      0   0   5    5
71-multi-timeframe-confluence                  0   0   5    5
07-revenge-trading                             0   0   5    5
08-confirmation-bias                           0   0   5    5
09-position-sizing                             0   0   5    5
10-stop-losses                                 0   0   5    5
20-swing-trading-framework                     0   0   5    5
33-advanced-risk-management                    0   0   5    5
34-trade-journal-mastery                       0   0   5    5
35-professional-operations                     0   0   5    5
37-options-order-flow                          0   0   5    5
57-trading-automation-apis                     0   0   4    4
65-market-impact-models                        0   0   4    4
68-crypto-market-microstructure                0   0   4    4
73-behavioral-finance-psychology               0   0   4    4
03-price-action-is-dead                        0   0   4    4
04-repaint-problem                             0   0   4    4
13-smart-money-concepts                        0   0   4    4
14-cot-report                                  0   0   4    4
15-liquidity-pools                             0   0   4    4
16-market-structure-advanced                   0   0   4    4
17-time-sales-mastery                          0   0   4    4
18-session-liquidity-advanced                  0   0   4    4
21-bid-ask-spread-dynamics                     0   0   4    4
22-order-book-analysis                         0   0   4    4
23-market-making-hft                           0   0   4    4
31-portfolio-construction                      0   0   4    4
32-backtesting-reality                         0   0   4    4
39-options-market-microstructure               0   0   4    4
56-high-frequency-concepts                     0   0   3    3
58-portfolio-theory-advanced                   0   0   3    3
59-performance-attribution                     0   0   3    3
60-tax-optimization                            0   0   3    3
61-professional-infrastructure                 0   0   3    3
66-quantitative-strategy-design                0   0   3    3
67-machine-learning-trading                    0   0   3    3
69-institutional-order-types                   0   0   3    3
70-execution-algorithms-twap-vwap              0   0   3    3
72-intermarket-analysis-advanced               0   0   3    3
74-building-trading-business                   0   0   3    3
01-the-liquidity-lie                           0   0   3    3
02-volume-doesnt-lie                           0   0   3    3
05-rsi-extremes                                0   0   3    3
06-moving-averages                             0   0   3    3
11-timeframe-illusion                          0   0   3    3
12-paper-trading                               0   0   3    3
28-janus-atlas-advanced                        0   0   3    3
30-volume-oracle-regimes                       0   0   3    3
75-real-time-market-analysis                   0   0   3    3
78-professional-risk-systems                   0   0   3    3
50-auction-theory-advanced                     0   0   2    2
51-cross-asset-correlations                    0   0   2    2
53-algorithmic-execution                       0   0   2    2
54-system-development                          0   0   2    2
62-trading-career-path                         0   0   2    2
41-fed-policy-liquidity                        0   0   2    2
48-institutional-order-flow                    0   0   1    1
49-market-regime-recognition                   0   0   1    1
52-volatility-trading                          0   0   1    1
55-machine-learning-trading                    0   0   1    1
19-footprint-charts-advanced                   0   0   1    1
24-footprint-charts                            0   0   1    1
25-dark-pools                                  0   0   1    1
26-smart-money-divergence                      0   0   1    1
27-multi-timeframe-mastery                     0   0   1    1
40-market-maker-algorithms                     0   0   1    1
76-live-trading-case-studies                   0   0   1    1
77-building-your-edge                          0   0   1    1
79-institutional-trading-strategies            0   0   1    1
80-career-pathways-trading                     0   0   1    1
81-final-capstone-project                      0   0   1    1
82-ongoing-learning-community                  0   0   1    1
29-plutus-flow-mastery                         0   0   0    0
42-volatility-trading-strategies               0   0   0    0
43-cross-market-correlation                    0   0   0    0
44-hft-mechanics                               0   0   0    0
45-auction-theory-imbalances                   0   0   0    0
46-advanced-risk-management                    0   0   0    0
47-portfolio-construction-kelly                0   0   0    0
-------------------------------------------------------------
TOTALS (82 lessons)                            0   0 237  237
lessons already clean: 7
