lesson                                        T1  T2  T3  wgt
48-institutional-order-flow                    0   0   0    0
49-market-regime-recognition                   0   0   0    0
50-auction-theory-advanced                     0   0   0    0
51-variance-or-broken-edge                     0   0   0    0
52-volatility-trading                          0   0   0    0
53-algorithmic-execution                       0   0   0    0
54-system-development                          0   0   0    0
55-machine-learning-trading                    0   0   0    0
56-high-frequency-concepts                     0   0   0    0
57-trading-automation-apis                     0   0   0    0
58-portfolio-theory-advanced                   0   0   0    0
59-performance-attribution                     0   0   0    0
60-tax-optimization                            0   0   0    0
61-professional-infrastructure                 0   0   0    0
62-trading-career-path                         0   0   0    0
63-statistical-arbitrage                       0   0   0    0
64-macro-regime-framework                      0   0   0    0
65-market-impact-models                        0   0   0    0
66-quantitative-strategy-design                0   0   0    0
67-why-edges-die                               0   0   0    0
68-crypto-market-microstructure                0   0   0    0
69-institutional-order-types                   0   0   0    0
70-execution-algorithms-twap-vwap              0   0   0    0
71-multi-timeframe-confluence                  0   0   0    0
72-intermarket-analysis-advanced               0   0   0    0
73-behavioral-finance-psychology               0   0   0    0
74-building-trading-business                   0   0   0    0
01-the-liquidity-lie                           0   0   0    0
02-volume-doesnt-lie                           0   0   0    0
03-price-action-is-dead                        0   0   0    0
04-repaint-problem                             0   0   0    0
05-rsi-extremes                                0   0   0    0
06-moving-averages                             0   0   0    0
07-revenge-trading                             0   0   0    0
08-confirmation-bias                           0   0   0    0
09-position-sizing                             0   0   0    0
10-stop-losses                                 0   0   0    0
11-timeframe-illusion                          0   0   0    0
12-paper-trading                               0   0   0    0
13-smart-money-concepts                        0   0   0    0
14-cot-report                                  0   0   0    0
15-liquidity-pools                             0   0   0    0
16-market-structure-advanced                   0   0   0    0
17-time-sales-mastery                          0   0   0    0
18-session-liquidity-advanced                  0   0   0    0
19-footprint-charts-advanced                   0   0   0    0
20-swing-trading-framework                     0   0   0    0
21-bid-ask-spread-dynamics                     0   0   0    0
22-order-book-analysis                         0   0   0    0
23-market-making-hft                           0   0   0    0
24-footprint-charts                            0   0   0    0
25-dark-pools                                  0   0   0    0
26-smart-money-divergence                      0   0   0    0
27-multi-timeframe-mastery                     0   0   0    0
28-janus-atlas-advanced                        0   0   0    0
29-plutus-flow-mastery                         0   0   0    0
30-volume-oracle-regimes                       0   0   0    0
31-portfolio-construction                      0   0   0    0
32-backtesting-reality                         0   0   0    0
33-advanced-risk-management                    0   0   0    0
34-trade-journal-mastery                       0   0   0    0
35-professional-operations                     0   0   0    0
36-dark-pool-indicators                        0   0   0    0
37-options-order-flow                          0   0   0    0
38-game-theory-trading                         0   0   0    0
39-options-market-microstructure               0   0   0    0
40-market-maker-algorithms                     0   0   0    0
41-fed-policy-liquidity                        0   0   0    0
42-volatility-trading-strategies               0   0   0    0
43-cross-market-correlation                    0   0   0    0
44-hft-mechanics                               0   0   0    0
45-auction-theory-imbalances                   0   0   0    0
46-advanced-risk-management                    0   0   0    0
47-portfolio-construction-kelly                0   0   0    0
75-real-time-market-analysis                   0   0   0    0
76-live-trading-case-studies                   0   0   0    0
77-building-your-edge                          0   0   0    0
78-professional-risk-systems                   0   0   0    0
79-institutional-trading-strategies            0   0   0    0
80-career-pathways-trading                     0   0   0    0
81-final-capstone-project                      0   0   0    0
82-ongoing-learning-community                  0   0   0    0
-------------------------------------------------------------
TOTALS (82 lessons)                            0   0   0    0
lessons already clean: 82
